crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
maize,NL33,20010113,-2.648,2.533,0.005,4186245.25,-0.853,0.426,2.377,-0.421
maize,NL34,20010113,-1.311,3.016,0.0,4484899.0,0.392,0.639,2.658,-0.639
maize,NL41,20010113,-2.384,2.684,0.0,4245911.5,-0.62,0.518,2.618,-0.518
maize,NL42,20010113,-2.573,2.803,0.0,4481940.0,-0.658,0.608,2.975,-0.608
maize,NL11,20010114,-3.405,2.664,0.208,1990991.5,-0.538,0.264,1.917,-0.056
maize,NL12,20010114,-3.581,3.442,0.217,1995678.75,-0.38,0.315,2.247,-0.098
maize,NL13,20010114,-4.493,2.148,0.255,1879226.0,-1.326,0.263,1.95,-0.008
maize,NL21,20010114,-5.052,1.588,0.22,1663106.25,-1.866,0.302,1.934,-0.082
maize,NL22,20010114,-4.8,1.351,0.159,1742309.25,-1.909,0.339,1.896,-0.18
maize,NL23,20010114,-4.322,2.795,0.304,1680510.5,-0.926,0.338,2.162,-0.034
maize,NL31,20010114,-4.355,2.078,0.194,1692035.5,-1.399,0.358,2.024,-0.164
maize,NL32,20010114,-2.451,4.158,0.156,1788659.25,0.499,0.471,2.456,-0.315
maize,NL33,20010114,-3.929,2.473,0.144,1854661.0,-1.088,0.41,2.149,-0.266
maize,NL34,20010114,-2.523,2.423,0.051,2963862.75,-0.523,0.521,2.185,-0.47
maize,NL41,20010114,-3.971,1.597,0.045,2470871.25,-1.628,0.414,2.026,-0.369
maize,NL42,20010114,-3.929,1.585,0.013,3356118.25,-1.732,0.438,2.23,-0.425
maize,NL11,20010115,-3.888,-0.123,0.013,3527321.5,-2.565,0.286,1.568,-0.273
maize,NL12,20010115,-4.098,0.165,0.011,3711130.0,-2.502,0.31,1.707,-0.299
maize,NL13,20010115,-4.065,0.228,0.006,3673493.0,-2.616,0.348,1.836,-0.342
maize,NL21,20010115,-4.083,0.725,0.0,3862682.5,-2.452,0.394,2.142,-0.394
maize,NL22,20010115,-3.863,1.239,0.0,4203119.5,-2.19,0.431,2.435,-0.431
maize,NL23,20010115,-3.512,0.927,0.004,4001162.25,-1.93,0.396,2.09,-0.392
maize,NL31,20010115,-3.792,1.229,0.0,4372514.0,-2.102,0.411,2.382,-0.411
maize,NL32,20010115,-2.775,0.955,0.002,4038840.25,-1.232,0.374,1.835,-0.372
maize,NL33,20010115,-3.93,1.366,0.002,4508480.5,-2.013,0.44,2.484,-0.438
maize,NL34,20010115,-3.462,1.983,0.0,4800496.5,-1.426,0.571,2.908,-0.571
maize,NL41,20010115,-4.2,1.857,0.0,4586691.0,-1.991,0.505,2.913,-0.505
maize,NL42,20010115,-4.369,2.388,0.0,4764177.5,-1.941,0.604,3.46,-0.604
maize,NL11,20010116,-5.697,0.035,0.0,3831072.5,-3.594,0.284,2.012,-0.284
maize,NL12,20010116,-5.671,0.272,0.0,4077542.0,-3.502,0.271,2.105,-0.271
maize,NL13,20010116,-6.114,0.405,0.0,4104518.5,-3.869,0.298,2.341,-0.298
maize,NL21,20010116,-6.207,0.644,0.0,4333086.5,-3.804,0.297,2.575,-0.297
maize,NL22,20010116,-6.021,0.945,0.0,4527892.5,-3.528,0.305,2.785,-0.305
maize,NL23,20010116,-5.325,0.897,0.0,4343323.5,-3.05,0.294,2.456,-0.294
maize,NL31,20010116,-5.793,1.123,0.0,4584983.0,-3.311,0.313,2.782,-0.313
maize,NL32,20010116,-3.636,0.941,0.0,4265556.0,-1.87,0.29,2.06,-0.29
maize,NL33,20010116,-5.658,1.111,0.0,4636573.0,-3.093,0.328,2.755,-0.328
maize,NL34,20010116,-4.809,1.296,0.0,4802492.5,-2.425,0.337,2.781,-0.337
maize,NL41,20010116,-6.049,1.241,0.0,4660251.5,-3.185,0.367,2.971,-0.367
maize,NL42,20010116,-5.993,1.551,0.0,4822616.0,-3.134,0.375,3.213,-0.375
maize,NL11,20010117,-6.792,-1.567,0.005,3728352.75,-4.907,0.214,1.758,-0.209
maize,NL12,20010117,-7.032,-1.6,0.004,3828654.0,-5.092,0.187,1.76,-0.183
maize,NL13,20010117,-7.643,-1.625,0.0,4142429.5,-5.814,0.201,2.007,-0.201
maize,NL21,20010117,-8.288,-1.431,0.0,4358695.0,-6.047,0.19,2.207,-0.19
maize,NL22,20010117,-7.664,-0.842,0.0,4558118.0,-5.556,0.168,2.374,-0.168
maize,NL23,20010117,-6.988,-0.944,0.0,4284123.0,-4.924,0.167,2.103,-0.167
maize,NL31,20010117,-7.436,-0.551,0.0,4634582.5,-5.292,0.152,2.395,-0.152
maize,NL32,20010117,-5.003,-0.767,0.005,3640764.5,-3.33,0.194,1.7,-0.189
maize,NL33,20010117,-7.265,-0.355,0.0,4561942.0,-4.761,0.129,2.332,-0.129
maize,NL34,20010117,-6.298,0.554,0.001,4978641.5,-3.232,0.112,2.427,-0.111
maize,NL41,20010117,-7.681,-0.057,0.0,4721454.0,-4.518,0.121,2.403,-0.121
maize,NL42,20010117,-7.55,0.31,0.0,4859489.5,-4.053,0.095,2.44,-0.095
maize,NL11,20010118,-7.199,0.723,0.064,3409339.25,-2.655,0.026,1.818,0.038
maize,NL12,20010118,-7.368,1.16,0.081,3379765.0,-2.734,0.023,2.018,0.058
maize,NL13,20010118,-8.56,0.921,0.072,3311463.0,-2.799,0.021,1.926,0.051
maize,NL21,20010118,-8.728,1.535,0.075,3184759.75,-2.158,0.03,1.985,0.045
maize,NL22,20010118,-7.812,1.775,0.224,2872944.25,-1.609,0.057,1.872,0.167
maize,NL23,20010118,-7.524,1.444,0.212,2998822.25,-2.129,0.06,1.948,0.152
maize,NL31,20010118,-7.25,0.686,0.811,2773915.0,-2.451,0.078,1.66,0.733
maize,NL32,20010118,-4.402,1.243,0.594,3388798.25,-1.237,0.092,1.769,0.502
maize,NL33,20010118,-6.136,-0.081,0.758,3218714.75,-2.653,0.079,1.535,0.679
maize,NL34,20010118,-4.746,0.417,0.35,3315730.25,-1.945,0.14,1.685,0.21
maize,NL41,20010118,-6.068,1.658,0.697,2345073.5,-1.158,0.115,1.595,0.582
maize,NL42,20010118,-5.007,3.316,0.25,2879283.25,0.344,0.101,1.937,0.149
maize,NL11,20010119,-1.538,1.202,1.124,2777749.0,-0.324,0.124,1.033,1.0
maize,NL12,20010119,-0.877,1.739,0.756,2725279.25,0.28,0.121,1.077,0.635
maize,NL13,20010119,-1.175,1.567,0.841,2796094.0,-0.019,0.118,1.075,0.723
maize,NL21,20010119,-0.855,2.362,0.66,2623433.5,0.55,0.154,1.273,0.506
maize,NL22,20010119,-0.655,2.629,0.691,2530180.25,0.778,0.168,1.287,0.523
maize,NL23,20010119,-0.429,2.021,0.588,2899065.5,0.638,0.118,1.075,0.47
maize,NL31,20010119,-1.442,1.765,1.244,3025645.75,-0.08,0.101,1.16,1.143
maize,NL32,20010119,-0.619,1.918,1.531,3538633.25,0.637,0.125,1.335,1.406
maize,NL33,20010119,-2.643,1.455,1.152,3230472.25,-0.612,0.099,1.323,1.053
maize,NL34,20010119,-2.404,1.822,0.343,2816836.0,-0.419,0.188,1.549,0.155
maize,NL41,20010119,-0.923,2.961,0.659,2488019.75,0.602,0.179,1.502,0.48
maize,NL42,20010119,-0.523,3.248,0.299,2852176.0,0.943,0.182,1.62,0.117
maize,NL11,20010120,-1.359,1.425,2.163,2300200.0,-0.206,0.157,1.036,2.006
maize,NL12,20010120,-0.927,1.246,1.252,2388421.25,0.053,0.158,0.875,1.094
maize,NL13,20010120,-1.29,1.206,1.105,2177835.0,-0.053,0.159,0.818,0.946
maize,NL21,20010120,-1.784,1.384,0.993,2124112.25,-0.186,0.188,0.915,0.805
maize,NL22,20010120,-1.67,1.457,1.128,2416939.5,-0.326,0.18,1.002,0.948
maize,NL23,20010120,-1.187,1.199,0.926,2555800.25,-0.071,0.169,0.908,0.757
maize,NL31,20010120,-1.832,1.242,0.589,2946883.75,-0.473,0.148,1.091,0.441
maize,NL32,20010120,-0.637,1.478,0.976,3017494.5,0.325,0.19,1.076,0.786
maize,NL33,20010120,-1.681,1.802,0.85,3527619.5,-0.231,0.146,1.352,0.704
maize,NL34,20010120,-1.272,2.328,1.716,4024288.5,0.22,0.192,1.602,1.524
maize,NL41,20010120,-1.893,1.478,0.941,2946886.5,-0.473,0.173,1.148,0.768
maize,NL42,20010120,-1.891,1.643,0.739,2738066.75,-0.343,0.22,1.171,0.519
maize,NL11,20010121,-1.75,0.372,0.406,2783999.5,-0.94,0.276,1.106,0.13
maize,NL12,20010121,-1.559,0.742,1.445,2522157.5,-0.738,0.333,1.147,1.112
maize,NL13,20010121,-1.66,0.502,1.418,2620743.25,-0.969,0.281,1.091,1.137
maize,NL21,20010121,-2.144,0.676,3.044,2845552.5,-1.067,0.25,1.17,2.794
maize,NL22,20010121,-2.457,0.765,5.642,3559210.0,-0.911,0.203,1.165,5.439
maize,NL23,20010121,-1.618,0.967,4.481,3215080.0,-0.474,0.296,1.193,4.185
maize,NL31,20010121,-2.33,0.806,7.55,4059726.5,-0.682,0.214,1.167,7.336
maize,NL32,20010121,-1.023,1.062,4.091,3689071.75,-0.023,0.312,1.16,3.779
maize,NL33,20010121,-2.645,1.207,8.325,3907976.0,-0.431,0.216,1.282,8.109
maize,NL34,20010121,-3.049,3.647,11.988,2782489.0,0.552,0.121,1.998,11.867
maize,NL41,20010121,-3.288,1.688,8.939,4149357.25,-0.433,0.163,1.497,8.776
maize,NL42,20010121,-3.191,2.16,8.241,4552285.0,-0.264,0.158,1.767,8.083
maize,NL11,20010122,-1.813,3.623,1.825,1492068.875,0.875,0.128,1.73,1.697
maize,NL12,20010122,-1.554,4.202,2.379,1477780.875,1.311,0.135,1.816,2.244
maize,NL13,20010122,-1.444,3.918,2.987,1372304.25,1.293,0.143,1.648,2.844
maize,NL21,20010122,-1.075,4.424,5.177,1295183.75,1.922,0.165,1.583,5.012
maize,NL22,20010122,-0.504,5.24,6.353,1192530.25,2.74,0.178,1.61,6.175
maize,NL23,20010122,-0.606,4.975,4.187,1547254.375,2.337,0.159,1.745,4.028
maize,NL31,20010122,-0.354,5.479,4.495,1386796.625,2.875,0.165,1.675,4.33
maize,NL32,20010122,-0.245,5.329,2.982,1661420.125,2.675,0.164,1.821,2.818
maize,NL33,20010122,-0.124,6.216,3.845,1297128.875,3.515,0.174,1.861,3.671
maize,NL34,20010122,2.945,7.737,5.753,1238734.625,5.759,0.187,1.835,5.566
maize,NL41,20010122,0.836,6.878,8.08,951806.062,4.625,0.207,1.703,7.873
maize,NL42,20010122,1.373,7.183,11.079,1048972.875,5.242,0.203,1.661,10.876
maize,NL11,20010123,2.359,8.498,7.638,1819056.125,5.698,0.111,2.585,7.527
maize,NL12,20010123,3.114,9.464,7.587,2141693.0,6.249,0.106,3.085,7.481
maize,NL13,20010123,3.001,9.095,7.024,1794685.25,6.24,0.121,2.753,6.903
maize,NL21,20010123,3.662,9.714,7.905,1887362.5,6.814,0.13,3.023,7.775
maize,NL22,20010123,4.163,10.261,8.239,2274185.5,7.334,0.116,3.219,8.123
maize,NL23,20010123,4.103,10.238,7.895,2455964.25,7.101,0.114,3.297,7.781
maize,NL31,20010123,4.447,10.73,6.705,3049298.75,7.509,0.071,3.422,6.634
maize,NL32,20010123,4.391,10.419,6.904,3148971.75,7.185,0.134,3.479,6.77
maize,NL33,20010123,4.633,11.225,6.631,3459557.25,7.772,0.118,3.802,6.513
maize,NL34,20010123,5.135,11.733,7.017,3374381.75,8.227,0.358,4.065,6.659
maize,NL41,20010123,5.296,11.226,7.633,2871946.5,8.114,0.135,3.707,7.498
maize,NL42,20010123,5.453,11.059,6.939,2846866.75,8.087,0.234,3.754,6.705
maize,NL11,20010124,2.817,10.31,8.327,3547887.75,6.933,0.749,3.841,7.578
maize,NL12,20010124,3.323,10.44,10.138,3840844.75,6.96,0.834,4.003,9.304
maize,NL13,20010124,2.76,10.655,7.316,3500890.75,7.048,0.813,4.027,6.503
maize,NL21,20010124,3.047,11.19,6.404,3434816.75,7.36,0.876,4.348,5.528
maize,NL22,20010124,3.148,11.501,5.934,3673574.0,7.514,0.883,4.558,5.051
maize,NL23,20010124,3.439,10.962,8.427,4119447.0,7.338,0.873,4.238,7.554
maize,NL31,20010124,3.172,11.266,8.389,4420387.0,7.352,0.873,4.462,7.516
maize,NL32,20010124,4.299,10.574,10.922,4601795.0,7.368,0.919,4.066,10.003
maize,NL33,20010124,3.594,11.373,8.952,4614716.0,7.447,1.041,4.659,7.911
maize,NL34,20010124,4.453,11.447,7.037,4617120.0,7.688,1.213,4.785,5.824
maize,NL41,20010124,3.493,12.011,6.564,3901438.0,7.747,0.961,4.969,5.603
maize,NL42,20010124,3.613,11.954,5.307,3110362.5,7.861,1.007,4.856,4.3
maize,NL11,20010125,2.061,7.564,2.133,2577643.75,4.818,0.409,2.516,1.724
maize,NL12,20010125,2.706,7.859,1.574,2619744.25,5.141,0.48,2.607,1.094
maize,NL13,20010125,2.215,7.681,2.055,2368930.0,4.895,0.425,2.514,1.63
maize,NL21,20010125,2.636,7.893,2.133,2184123.0,5.055,0.47,2.569,1.663
maize,NL22,20010125,2.835,7.91,2.229,2066145.375,5.215,0.473,2.476,1.756
maize,NL23,20010125,3.202,8.093,1.747,2475837.5,5.459,0.508,2.62,1.239
maize,NL31,20010125,3.113,8.181,1.449,2377899.0,5.54,0.495,2.618,0.954
maize,NL32,20010125,3.932,7.765,1.039,2783652.25,5.841,0.558,2.376,0.481
maize,NL33,20010125,3.62,8.226,0.882,2683773.75,5.883,0.56,2.67,0.322
maize,NL34,20010125,4.431,8.232,0.892,2800629.5,6.324,0.669,2.644,0.223
maize,NL41,20010125,3.376,8.077,2.279,1899194.25,5.705,0.502,2.423,1.777
maize,NL42,20010125,3.29,7.731,3.482,1546651.125,5.501,0.504,2.253,2.978
maize,NL11,20010126,2.028,6.081,1.184,2936912.75,4.062,0.418,2.032,0.766
